date,open,high,low,close,volume
19/08/2004,100.01,104.06,95.96,100.335,44659000
20/08/2004,101.01,109.08,100.5,108.31,22834300
23/08/2004,110.76,113.48,109.05,109.4,18256100
24/08/2004,111.24,111.6,103.57,104.87,15247300
25/08/2004,104.76,108,103.88,106,9188600
26/08/2004,104.95,107.95,104.66,107.91,7094800
27/08/2004,108.1,108.62,105.69,106.15,6211700
30/08/2004,105.28,105.49,102.01,102.01,5196700
31/08/2004,102.32,103.71,102.16,102.37,4917800
01/09/2004,102.7,102.97,99.67,100.25,9138200
02/09/2004,99.09,102.37,98.94,101.51,15118600
03/09/2004,100.95,101.74,99.32,100.01,5152400
07/09/2004,101.01,102,99.61,101.58,5847500
08/09/2004,100.74,103.03,100.5,102.3,4985600
09/09/2004,102.5,102.71,101,102.31,4061700
10/09/2004,101.47,106.56,101.3,105.33,8698800
13/09/2004,106.63,108.41,106.46,107.5,7844100
14/09/2004,107.44,112,106.79,111.49,10828900
15/09/2004,110.56,114.23,110.2,112,10713000
16/09/2004,112.34,115.8,111.65,113.97,9266300
17/09/2004,114.42,117.49,113.55,117.49,9472500
20/09/2004,116.95,121.6,116.77,119.36,10628700
21/09/2004,120.2,120.42,117.51,117.84,7228700
22/09/2004,117.45,119.67,116.81,118.38,7581200
23/09/2004,118.84,122.63,117.02,120.82,8535600
24/09/2004,120.97,124.1,119.76,119.83,9123400
27/09/2004,119.56,120.88,117.8,118.26,7066100
28/09/2004,121.15,127.4,120.21,126.86,16929000
29/09/2004,126.53,135.02,126.23,131.08,30516400
30/09/2004,129.899,132.3,129,129.6,13758000
01/10/2004,130.8,134.24,128.9,132.58,15124800
04/10/2004,135.275,136.87,134.03,135.06,13022700
05/10/2004,134.66,138.53,132.24,138.37,14973200
06/10/2004,137.67,138.45,136,137.08,13381400
07/10/2004,136.56,139.88,136.55,138.85,14115000
08/10/2004,138.73,139.68,137.02,137.73,11069500
11/10/2004,137.01,138.86,133.85,135.26,10472100
12/10/2004,134.49,137.61,133.4,137.4,11665500
13/10/2004,143.24,143.55,140.08,140.9,19766200
14/10/2004,141.02,142.38,138.56,142,10442100
15/10/2004,144.95,145.5,141.95,144.11,13194700
18/10/2004,143.12,149.2,141.21,149.16,14036300
19/10/2004,150.5,152.4,147.35,147.94,18109800
20/10/2004,147.94,148.99,139.6,140.49,22722600
21/10/2004,144.13,150.13,141.62,149.38,29149800
22/10/2004,170.435,180.17,164.08,172.43,73710000
25/10/2004,176.28,194.43,172.55,187.4,65462800
26/10/2004,186.449,192.64,180,181.8,44569500
27/10/2004,182.509,189.52,181.77,185.97,26686200
28/10/2004,186.63,194.39,185.6,193.3,29663900
29/10/2004,198.87,199.95,190.6,190.64,42282600
01/11/2004,193.5,197.67,191.27,196.03,24425300
02/11/2004,198.73,199.25,193.34,194.87,22669900
03/11/2004,198.19,201.6,190.75,191.67,27749600
04/11/2004,188.25,190.4,183.35,184.7,28790300
05/11/2004,182,182.3,168.55,169.35,39626500
08/11/2004,170.86,175.44,169.4,172.55,22361200
09/11/2004,174.1,175.2,165.27,168.7,22106200
10/11/2004,170.67,172.52,166.33,167.86,21266700
11/11/2004,169.32,183.75,167.57,183.02,29941000
12/11/2004,185.23,189.8,177.4,182,33458700
15/11/2004,180.45,188.32,178.75,184.87,23779100
16/11/2004,174.39,179.47,170.83,172.545,41792900
17/11/2004,169.02,177.5,169,172.5,36229500
18/11/2004,170.4,174.42,165.73,167.54,33225900
19/11/2004,169.06,169.98,166.52,169.4,17521000
22/11/2004,168.6,169.5,161.31,165.1,24711600
23/11/2004,167.915,170.83,166.5,167.52,24801700
24/11/2004,174.84,177.21,172.51,174.76,30531400
26/11/2004,175.8,180.03,175.32,179.39,12947200
29/11/2004,180.255,182.95,177.51,181.05,21311800
30/11/2004,180.7,183,180.25,181.98,15384600
01/12/2004,181.77,182.5,179.55,179.96,15712400
02/12/2004,179.9,181.51,178.55,179.4,12509200
03/12/2004,180,181.06,177.6,180.4,11726600
06/12/2004,179.13,180.7,176.02,176.29,12495400
07/12/2004,176,176.2,170.55,171.43,13728000
08/12/2004,170.57,173.68,168.73,169.98,15068500
09/12/2004,170.25,173.5,168.47,173.43,15292600
10/12/2004,173.43,174.88,171.29,171.65,8625700
13/12/2004,172.03,173.18,169.45,170.45,9627500
14/12/2004,171,178.82,169.6,178.69,22154600
15/12/2004,177.99,180.69,176.66,179.78,22919000
16/12/2004,177.22,180.49,175.95,176.47,17128400
17/12/2004,176.76,180.5,176.55,180.08,14757600
20/12/2004,182,188.46,181.87,185.02,19649300
21/12/2004,186.28,187.88,183.4,183.75,11021500
22/12/2004,183.9,186.85,183.01,186.3,7806100
23/12/2004,187.45,188.6,186,187.9,7221900
27/12/2004,189.43,193.3,189.1,191.91,12195900
28/12/2004,192.11,193.55,191.01,192.76,8283300
29/12/2004,191.97,193.52,191.78,192.9,5350800
30/12/2004,192.97,198.23,191.85,197.6,11796700
31/12/2004,199.23,199.88,192.56,192.79,15321600
03/01/2005,197.4,203.64,195.46,202.71,31656700
04/01/2005,201.33,202.93,193.48,194.5,27484200
05/01/2005,193.45,196.9,192.23,193.51,16456700
06/01/2005,195.25,195.9,187.72,188.55,20753400
07/01/2005,190.64,194.25,188.78,193.85,19306400
10/01/2005,194.5,198.1,191.83,195.06,15064100
11/01/2005,195.62,197.71,193.18,193.54,13903400
12/01/2005,194.33,195.93,190.5,195.38,16339200
13/01/2005,195.38,197.39,194.05,195.33,13685100
14/01/2005,196,200.01,194.13,199.97,19261300
18/01/2005,200.89,205.02,198.66,203.9,26318800
19/01/2005,204.64,205.3,196.71,197.3,22492800
