date,open,high,low,close,volume
13/03/1986,0.0885,0.1016,0.0885,0.0972,1031788800
14/03/1986,0.0972,0.1024,0.0972,0.1007,308160000
17/03/1986,0.1007,0.1033,0.1007,0.1024,133171200
18/03/1986,0.1024,0.1033,0.099,0.0998,67766400
19/03/1986,0.0998,0.1007,0.0972,0.0981,47894400
20/03/1986,0.0981,0.0981,0.0946,0.0955,58435200
21/03/1986,0.0955,0.0972,0.0911,0.0929,59990400
24/03/1986,0.0929,0.0929,0.0894,0.0903,65289600
25/03/1986,0.0903,0.092,0.0894,0.092,32083200
26/03/1986,0.092,0.0955,0.0911,0.0946,22752000
27/03/1986,0.0946,0.0964,0.0946,0.0964,16848000
31/03/1986,0.0964,0.0964,0.0938,0.0955,12873600
01/04/1986,0.0955,0.0955,0.0946,0.0946,11088000
02/04/1986,0.0946,0.0972,0.0946,0.0955,27014400
03/04/1986,0.0964,0.099,0.0964,0.0964,23040000
04/04/1986,0.0964,0.0972,0.0964,0.0964,26582400
07/04/1986,0.0964,0.0972,0.0929,0.0946,16560000
08/04/1986,0.0946,0.0972,0.0946,0.0955,10252800
09/04/1986,0.0955,0.0981,0.0955,0.0972,12153600
10/04/1986,0.0972,0.099,0.0955,0.0981,13881600
11/04/1986,0.099,0.1016,0.099,0.0998,17222400
14/04/1986,0.0998,0.1016,0.0998,0.1007,12153600
15/04/1986,0.1007,0.1007,0.0972,0.1007,9302400
16/04/1986,0.1007,0.105,0.0998,0.1042,31910400
17/04/1986,0.1042,0.105,0.1042,0.105,22003200
18/04/1986,0.105,0.105,0.1007,0.1016,21628800
21/04/1986,0.1016,0.1024,0.099,0.1016,22924800
22/04/1986,0.1016,0.1016,0.0998,0.0998,15552000
23/04/1986,0.0998,0.1007,0.099,0.1002,15609600
24/04/1986,0.1002,0.112,0.0998,0.1102,62352000
25/04/1986,0.1111,0.122,0.1111,0.1172,85795200
28/04/1986,0.1172,0.1189,0.1163,0.1181,28886400
29/04/1986,0.1181,0.1181,0.1137,0.1146,30326400
30/04/1986,0.1146,0.1155,0.1094,0.112,30902400
01/05/1986,0.112,0.112,0.1085,0.1102,54345600
02/05/1986,0.1102,0.112,0.1094,0.1102,20246400
05/05/1986,0.1102,0.1102,0.1094,0.1094,3254400
06/05/1986,0.1102,0.112,0.1102,0.1102,9734400
07/05/1986,0.1102,0.1111,0.1085,0.1102,5155200
08/05/1986,0.1102,0.1111,0.1094,0.1111,3542400
09/05/1986,0.1111,0.1111,0.1102,0.1102,6076800
12/05/1986,0.1102,0.1137,0.1102,0.1111,10483200
13/05/1986,0.1111,0.1128,0.1111,0.112,3830400
14/05/1986,0.112,0.112,0.1111,0.1111,9302400
15/05/1986,0.1111,0.1128,0.1111,0.1111,3801600
16/05/1986,0.1111,0.1146,0.1111,0.112,11952000
19/05/1986,0.112,0.112,0.1094,0.1102,11001600
20/05/1986,0.1102,0.1102,0.1085,0.1094,61977600
21/05/1986,0.1094,0.1102,0.1076,0.1076,8092800
22/05/1986,0.1076,0.1085,0.1076,0.1076,4406400
23/05/1986,0.1076,0.1094,0.1076,0.1076,4089600
27/05/1986,0.1076,0.1111,0.1076,0.1111,13881600
28/05/1986,0.1111,0.1146,0.1111,0.1146,15523200
29/05/1986,0.1146,0.1189,0.1137,0.1172,45676800
30/05/1986,0.1181,0.1233,0.1181,0.1215,27072000
02/06/1986,0.1215,0.1215,0.1181,0.1181,19728000
03/06/1986,0.1181,0.1181,0.1163,0.1181,5011200
04/06/1986,0.1181,0.1189,0.1163,0.1172,4723200
05/06/1986,0.1172,0.1189,0.1163,0.1189,13708800
06/06/1986,0.1189,0.1189,0.1172,0.1189,3427200
09/06/1986,0.1189,0.1189,0.1137,0.1137,12672000
10/06/1986,0.1137,0.1137,0.112,0.1137,3427200
11/06/1986,0.1137,0.1137,0.112,0.1137,2304000
12/06/1986,0.1137,0.1137,0.1085,0.1094,13708800
13/06/1986,0.1094,0.1102,0.1085,0.1094,7891200
16/06/1986,0.1094,0.1102,0.1076,0.1085,9590400
17/06/1986,0.1094,0.112,0.1094,0.1102,13075200
18/06/1986,0.1102,0.1102,0.1076,0.1094,4348800
19/06/1986,0.1094,0.1102,0.1076,0.1085,8467200
20/06/1986,0.1085,0.1094,0.1085,0.1089,3801600
23/06/1986,0.1089,0.1102,0.1068,0.1102,46195200
24/06/1986,0.1102,0.1111,0.1085,0.1094,14572800
25/06/1986,0.1094,0.1102,0.1076,0.1076,15235200
26/06/1986,0.1076,0.1085,0.1042,0.1042,19152000
27/06/1986,0.1042,0.105,0.1024,0.1033,10396800
30/06/1986,0.1033,0.1094,0.1024,0.1068,62352000
01/07/1986,0.1068,0.1068,0.1059,0.1068,47577600
02/07/1986,0.1068,0.1068,0.1059,0.1068,52617600
03/07/1986,0.1076,0.1094,0.1076,0.1085,14140800
07/07/1986,0.1085,0.1085,0.1042,0.1042,14054400
08/07/1986,0.1042,0.1042,0.1007,0.1016,14256000
09/07/1986,0.1016,0.1016,0.0964,0.0972,46137600
10/07/1986,0.0972,0.0981,0.0903,0.0946,46886400
11/07/1986,0.0946,0.099,0.0946,0.0972,17395200
14/07/1986,0.0946,0.0981,0.0946,0.0959,28598400
15/07/1986,0.0959,0.099,0.0946,0.0972,13190400
16/07/1986,0.0981,0.1007,0.0981,0.1007,9360000
17/07/1986,0.1007,0.1024,0.0998,0.1024,6940800
18/07/1986,0.1024,0.1042,0.0998,0.1033,12326400
21/07/1986,0.1033,0.105,0.1033,0.1033,3513600
22/07/1986,0.1033,0.1068,0.1033,0.1068,10512000
23/07/1986,0.1068,0.1085,0.1042,0.1042,20793600
24/07/1986,0.1059,0.1094,0.1059,0.1076,14140800
25/07/1986,0.1076,0.1094,0.1076,0.1085,20448000
28/07/1986,0.1085,0.1085,0.1059,0.1059,11808000
29/07/1986,0.1059,0.1068,0.1016,0.1033,14054400
30/07/1986,0.1033,0.1033,0.0964,0.0998,26409600
31/07/1986,0.0998,0.1007,0.099,0.099,15638400
01/08/1986,0.099,0.0998,0.0972,0.0981,12902400
04/08/1986,0.0981,0.0981,0.0955,0.0981,12441600
05/08/1986,0.0981,0.099,0.0972,0.0972,2822400
06/08/1986,0.0972,0.0981,0.0946,0.0964,18316800
07/08/1986,0.0964,0.0972,0.0946,0.0955,3657600
08/08/1986,0.0955,0.0981,0.0955,0.0964,4147200
11/08/1986,0.0981,0.1007,0.0981,0.0998,7948800
12/08/1986,0.0998,0.1024,0.0998,0.1024,9993600
13/08/1986,0.1024,0.1033,0.1016,0.1033,6883200
14/08/1986,0.1033,0.1068,0.1033,0.1059,20131200
15/08/1986,0.1059,0.1068,0.105,0.1063,6105600
18/08/1986,0.1063,0.1068,0.105,0.105,12787200
19/08/1986,0.105,0.1055,0.1033,0.105,20390400
20/08/1986,0.105,0.105,0.1042,0.1042,20764800
21/08/1986,0.1042,0.1059,0.1042,0.1042,49536000
22/08/1986,0.1042,0.105,0.1007,0.1024,5760000
25/08/1986,0.1024,0.1024,0.1007,0.1024,2419200
26/08/1986,0.1024,0.1024,0.1016,0.1016,10857600
27/08/1986,0.1016,0.1024,0.1007,0.1016,9532800
28/08/1986,0.1016,0.1024,0.1016,0.1016,3427200
29/08/1986,0.1016,0.1024,0.0972,0.099,25430400
02/09/1986,0.099,0.099,0.095,0.0964,5212800
03/09/1986,0.0955,0.0955,0.0911,0.0938,18316800
04/09/1986,0.0955,0.1016,0.0955,0.1016,39427200
05/09/1986,0.1016,0.1059,0.1007,0.1059,26352000
08/09/1986,0.1059,0.1068,0.105,0.105,9619200
09/09/1986,0.105,0.1094,0.105,0.1068,37526400
10/09/1986,0.1068,0.1076,0.105,0.105,10886400
11/09/1986,0.105,0.1059,0.1007,0.1007,35654400
12/09/1986,0.1007,0.1016,0.0981,0.0981,24451200
15/09/1986,0.0981,0.0998,0.0964,0.0998,22492800
16/09/1986,0.0998,0.1007,0.0981,0.0998,5184000
17/09/1986,0.0998,0.1042,0.099,0.1024,8035200
18/09/1986,0.1024,0.105,0.1024,0.1033,5356800
19/09/1986,0.1033,0.1042,0.1024,0.1033,2505600
22/09/1986,0.1033,0.1033,0.1024,0.1024,4492800
23/09/1986,0.1024,0.105,0.1024,0.1042,5961600
24/09/1986,0.1042,0.1042,0.1024,0.1028,4780800
25/09/1986,0.1028,0.1033,0.1007,0.1007,5155200
26/09/1986,0.1007,0.1016,0.0998,0.1007,2332800
29/09/1986,0.1007,0.1007,0.0981,0.0981,6192000
30/09/1986,0.0981,0.0998,0.0981,0.0981,5184000
01/10/1986,0.0981,0.0998,0.0955,0.0972,32428800
02/10/1986,0.0972,0.099,0.0964,0.0972,22723200
03/10/1986,0.0972,0.099,0.0972,0.0981,14716800
06/10/1986,0.1007,0.1076,0.1007,0.1059,85334400
07/10/1986,0.1059,0.1102,0.1059,0.1081,59788800
08/10/1986,0.1081,0.1124,0.1068,0.1111,119606400
09/10/1986,0.1111,0.1172,0.1111,0.1146,92563200
10/10/1986,0.1146,0.1224,0.1128,0.1198,76752000
13/10/1986,0.1198,0.1198,0.1146,0.1146,27129600
14/10/1986,0.1155,0.1172,0.1155,0.1163,12873600
15/10/1986,0.1163,0.1224,0.1163,0.1215,63532800
16/10/1986,0.1215,0.1224,0.1207,0.1215,21859200
17/10/1986,0.1215,0.1259,0.1215,0.125,124444800
20/10/1986,0.125,0.1276,0.1224,0.1259,43545600
21/10/1986,0.1267,0.1311,0.1267,0.1311,112377600
22/10/1986,0.1311,0.1324,0.1302,0.1311,54576000
23/10/1986,0.1311,0.1319,0.1298,0.1311,70444800
24/10/1986,0.1311,0.1311,0.1267,0.1302,101376000
27/10/1986,0.1311,0.1345,0.1311,0.1345,125654400
28/10/1986,0.1345,0.1398,0.1345,0.1376,142646400
29/10/1986,0.1376,0.138,0.1319,0.1337,53222400
30/10/1986,0.1337,0.138,0.1328,0.1363,44380800
31/10/1986,0.1363,0.138,0.1337,0.1345,63734400
03/11/1986,0.1354,0.138,0.1354,0.1372,42192000
04/11/1986,0.1372,0.1424,0.1372,0.1424,54403200
05/11/1986,0.1424,0.1519,0.1415,0.151,45100800
06/11/1986,0.151,0.158,0.1502,0.1545,72576000
07/11/1986,0.1545,0.1554,0.151,0.1536,44323200
10/11/1986,0.1536,0.1536,0.1467,0.1476,28684800
11/11/1986,0.1484,0.1502,0.1484,0.1484,11894400
12/11/1986,0.1484,0.1519,0.1467,0.1484,34156800
13/11/1986,0.1484,0.1493,0.1458,0.1463,30211200
14/11/1986,0.1463,0.1476,0.1432,0.1476,18720000
17/11/1986,0.1476,0.1502,0.1458,0.1484,24307200
18/11/1986,0.1484,0.1493,0.1406,0.1406,59673600
19/11/1986,0.1406,0.1467,0.1406,0.1458,48729600
20/11/1986,0.1458,0.1571,0.1458,0.1571,98179200
21/11/1986,0.158,0.1641,0.158,0.1623,91065600
24/11/1986,0.1623,0.1762,0.1571,0.1753,173836800
25/11/1986,0.1753,0.178,0.1745,0.1771,95788800
26/11/1986,0.1771,0.178,0.1753,0.1753,38793600
28/11/1986,0.1753,0.1762,0.171,0.1727,41328000
01/12/1986,0.1727,0.1736,0.1684,0.1693,40291200
02/12/1986,0.1701,0.1736,0.1701,0.1701,28771200
03/12/1986,0.1701,0.1719,0.1684,0.1689,35164800
04/12/1986,0.1689,0.1727,0.1675,0.171,42508800
05/12/1986,0.171,0.1719,0.1701,0.1701,107510400
08/12/1986,0.1701,0.1719,0.1658,0.1684,22665600
09/12/1986,0.1684,0.1693,0.1667,0.1675,16099200
10/12/1986,0.1675,0.1693,0.1658,0.1689,27590400
11/12/1986,0.1689,0.171,0.1684,0.1701,11635200
12/12/1986,0.1701,0.1701,0.1641,0.1641,25286400
15/12/1986,0.1641,0.1649,0.1571,0.1597,50774400
